
Train 0, loss: 1.670280, train acc: 0.867324, train avg acc: 0.494520, train iou: 0.713990
Test 0, loss: 1.515749, test acc: 0.908575, test avg acc: 0.633929, test iou: 0.769471
Train 1, loss: 1.528431, train acc: 0.912123, train avg acc: 0.633189, train iou: 0.768311
Test 1, loss: 1.484144, test acc: 0.914235, test avg acc: 0.664024, test iou: 0.777267
Train 2, loss: 1.503050, train acc: 0.918941, train avg acc: 0.661679, train iou: 0.782842
Test 2, loss: 1.502659, test acc: 0.904343, test avg acc: 0.651473, test iou: 0.770211
Train 3, loss: 1.488964, train acc: 0.922804, train avg acc: 0.680471, train iou: 0.792233
Test 3, loss: 1.475672, test acc: 0.921538, test avg acc: 0.678015, test iou: 0.800701
Train 4, loss: 1.484625, train acc: 0.923780, train avg acc: 0.690375, train iou: 0.796393
Test 4, loss: 1.455055, test acc: 0.922837, test avg acc: 0.705676, test iou: 0.799596
Train 5, loss: 1.473812, train acc: 0.926463, train avg acc: 0.698480, train iou: 0.801648
Test 5, loss: 1.463438, test acc: 0.919359, test avg acc: 0.684719, test iou: 0.794140
Train 6, loss: 1.473917, train acc: 0.926873, train avg acc: 0.706213, train iou: 0.804365
Test 6, loss: 1.449236, test acc: 0.925898, test avg acc: 0.720715, test iou: 0.803906
Train 7, loss: 1.470882, train acc: 0.927374, train avg acc: 0.707841, train iou: 0.806084
Test 7, loss: 1.441770, test acc: 0.929135, test avg acc: 0.729621, test iou: 0.815012
Train 8, loss: 1.468660, train acc: 0.928408, train avg acc: 0.709003, train iou: 0.807582
Test 8, loss: 1.468699, test acc: 0.915730, test avg acc: 0.696262, test iou: 0.793738
Train 9, loss: 1.462468, train acc: 0.930015, train avg acc: 0.719119, train iou: 0.810942
Test 9, loss: 1.446285, test acc: 0.926080, test avg acc: 0.720919, test iou: 0.808334
Train 10, loss: 1.459107, train acc: 0.930709, train avg acc: 0.720579, train iou: 0.813427
Test 10, loss: 1.472427, test acc: 0.923712, test avg acc: 0.728725, test iou: 0.813409
Train 11, loss: 1.458185, train acc: 0.931154, train avg acc: 0.724304, train iou: 0.815153
Test 11, loss: 1.439891, test acc: 0.930317, test avg acc: 0.714657, test iou: 0.817697
Train 12, loss: 1.453685, train acc: 0.932306, train avg acc: 0.731644, train iou: 0.816460
Test 12, loss: 1.441173, test acc: 0.926844, test avg acc: 0.722427, test iou: 0.814724
Train 13, loss: 1.450989, train acc: 0.933565, train avg acc: 0.729151, train iou: 0.818983
Test 13, loss: 1.427353, test acc: 0.932638, test avg acc: 0.732865, test iou: 0.819764
Train 14, loss: 1.445592, train acc: 0.934553, train avg acc: 0.737941, train iou: 0.821617
Test 14, loss: 1.431167, test acc: 0.931251, test avg acc: 0.709323, test iou: 0.822444
Train 15, loss: 1.444157, train acc: 0.935403, train avg acc: 0.738141, train iou: 0.823239
Test 15, loss: 1.427441, test acc: 0.933324, test avg acc: 0.748700, test iou: 0.827025
Train 16, loss: 1.443849, train acc: 0.935709, train avg acc: 0.740419, train iou: 0.823467
Test 16, loss: 1.444211, test acc: 0.926669, test avg acc: 0.740731, test iou: 0.807238
Train 17, loss: 1.437652, train acc: 0.937531, train avg acc: 0.748605, train iou: 0.827138
Test 17, loss: 1.430507, test acc: 0.933267, test avg acc: 0.763697, test iou: 0.829076
Train 18, loss: 1.433989, train acc: 0.938954, train avg acc: 0.753961, train iou: 0.830553
Test 18, loss: 1.448799, test acc: 0.927780, test avg acc: 0.730584, test iou: 0.816564
Train 19, loss: 1.431925, train acc: 0.939441, train avg acc: 0.755807, train iou: 0.831466
Test 19, loss: 1.422237, test acc: 0.933779, test avg acc: 0.752474, test iou: 0.829005
Train 20, loss: 1.427509, train acc: 0.940980, train avg acc: 0.762812, train iou: 0.834361
Test 20, loss: 1.420064, test acc: 0.936058, test avg acc: 0.762946, test iou: 0.832067
Train 21, loss: 1.423326, train acc: 0.942802, train avg acc: 0.768968, train iou: 0.837406
Test 21, loss: 1.417986, test acc: 0.936388, test avg acc: 0.762047, test iou: 0.832640
Train 22, loss: 1.420782, train acc: 0.943642, train avg acc: 0.771296, train iou: 0.839106
Test 22, loss: 1.414074, test acc: 0.937387, test avg acc: 0.779151, test iou: 0.834932
Train 23, loss: 1.417066, train acc: 0.945299, train avg acc: 0.779301, train iou: 0.842420
Test 23, loss: 1.426386, test acc: 0.933322, test avg acc: 0.775469, test iou: 0.829299
Train 24, loss: 1.413767, train acc: 0.946432, train avg acc: 0.780988, train iou: 0.844381
Test 24, loss: 1.411205, test acc: 0.938964, test avg acc: 0.781955, test iou: 0.838500
Train 25, loss: 1.410195, train acc: 0.947533, train avg acc: 0.785896, train iou: 0.846514
Test 25, loss: 1.414735, test acc: 0.937301, test avg acc: 0.768464, test iou: 0.834084
Train 26, loss: 1.408126, train acc: 0.948787, train avg acc: 0.789519, train iou: 0.848501
Test 26, loss: 1.413391, test acc: 0.937061, test avg acc: 0.773489, test iou: 0.837845
Train 27, loss: 1.406064, train acc: 0.949525, train avg acc: 0.791882, train iou: 0.850035
Test 27, loss: 1.408299, test acc: 0.940526, test avg acc: 0.777544, test iou: 0.841137
Train 28, loss: 1.404889, train acc: 0.950120, train avg acc: 0.792666, train iou: 0.850995
Test 28, loss: 1.408269, test acc: 0.940663, test avg acc: 0.784668, test iou: 0.841962
Train 29, loss: 1.402933, train acc: 0.950677, train avg acc: 0.795504, train iou: 0.852722
Test 29, loss: 1.408044, test acc: 0.940336, test avg acc: 0.779952, test iou: 0.841428
