
Train 0, loss: 1.673014, train acc: 0.865971, train avg acc: 0.494945, train iou: 0.714592
Test 0, loss: 1.521174, test acc: 0.908245, test avg acc: 0.631496, test iou: 0.770053
Train 1, loss: 1.529036, train acc: 0.912500, train avg acc: 0.632899, train iou: 0.770334
Test 1, loss: 1.494327, test acc: 0.912185, test avg acc: 0.669286, test iou: 0.769413
Train 2, loss: 1.504274, train acc: 0.918577, train avg acc: 0.658948, train iou: 0.783432
Test 2, loss: 1.488327, test acc: 0.908722, test avg acc: 0.649839, test iou: 0.773582
Train 3, loss: 1.490698, train acc: 0.922338, train avg acc: 0.678635, train iou: 0.791764
Test 3, loss: 1.463336, test acc: 0.924288, test avg acc: 0.683986, test iou: 0.806175
Train 4, loss: 1.486718, train acc: 0.923213, train avg acc: 0.688809, train iou: 0.796447
Test 4, loss: 1.465059, test acc: 0.917287, test avg acc: 0.698594, test iou: 0.794113
Train 5, loss: 1.476436, train acc: 0.925614, train avg acc: 0.696765, train iou: 0.800747
Test 5, loss: 1.465023, test acc: 0.920910, test avg acc: 0.695957, test iou: 0.798171
Train 6, loss: 1.477827, train acc: 0.925615, train avg acc: 0.701962, train iou: 0.801604
Test 6, loss: 1.450902, test acc: 0.924050, test avg acc: 0.715113, test iou: 0.800252
Train 7, loss: 1.475925, train acc: 0.925581, train avg acc: 0.703668, train iou: 0.803226
Test 7, loss: 1.447877, test acc: 0.927543, test avg acc: 0.718263, test iou: 0.811294
Train 8, loss: 1.473576, train acc: 0.926359, train avg acc: 0.705707, train iou: 0.803877
Test 8, loss: 1.473221, test acc: 0.911465, test avg acc: 0.683266, test iou: 0.789904
Train 9, loss: 1.469405, train acc: 0.927625, train avg acc: 0.710644, train iou: 0.806472
Test 9, loss: 1.449452, test acc: 0.923934, test avg acc: 0.725395, test iou: 0.804331
Train 10, loss: 1.468123, train acc: 0.927616, train avg acc: 0.711827, train iou: 0.807844
Test 10, loss: 1.478364, test acc: 0.918767, test avg acc: 0.721440, test iou: 0.806194
Train 11, loss: 1.469983, train acc: 0.927679, train avg acc: 0.713936, train iou: 0.808050
Test 11, loss: 1.458887, test acc: 0.922298, test avg acc: 0.722488, test iou: 0.803792
Train 12, loss: 1.466776, train acc: 0.928289, train avg acc: 0.719168, train iou: 0.808026
Test 12, loss: 1.446411, test acc: 0.926791, test avg acc: 0.720253, test iou: 0.810411
Train 13, loss: 1.465106, train acc: 0.929229, train avg acc: 0.714034, train iou: 0.809633
Test 13, loss: 1.432685, test acc: 0.931318, test avg acc: 0.721526, test iou: 0.818265
Train 14, loss: 1.463230, train acc: 0.928960, train avg acc: 0.719073, train iou: 0.810717
Test 14, loss: 1.439891, test acc: 0.927710, test avg acc: 0.692308, test iou: 0.812721
Train 15, loss: 1.463869, train acc: 0.929285, train avg acc: 0.717214, train iou: 0.811690
Test 15, loss: 1.452316, test acc: 0.919003, test avg acc: 0.737468, test iou: 0.809753
Train 16, loss: 1.466575, train acc: 0.929299, train avg acc: 0.717955, train iou: 0.810675
