/home/zht/anaconda3/envs/py38torch19/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
Use Adam
Start training epoch: (0/100)
/home/zht/anaconda3/envs/py38torch19/lib/python3.8/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Epoch (0), Batch(0/1368), loss: 6.533393, imid loss: 2.691097, imid1 loss: 0.777344, cmid loss: 3.064952
Epoch (0), Batch(200/1368), loss: 3.638084, imid loss: 1.004089, imid1 loss: 0.559284, cmid loss: 2.074712
Epoch (0), Batch(400/1368), loss: 3.016689, imid loss: 0.753738, imid1 loss: 0.458950, cmid loss: 1.804002
Epoch (0), Batch(600/1368), loss: 2.675428, imid loss: 0.636715, imid1 loss: 0.407166, cmid loss: 1.631547
Epoch (0), Batch(800/1368), loss: 2.444018, imid loss: 0.564027, imid1 loss: 0.372553, cmid loss: 1.507439
Epoch (0), Batch(1000/1368), loss: 2.278284, imid loss: 0.514186, imid1 loss: 0.351612, cmid loss: 1.412486
Epoch (0), Batch(1200/1368), loss: 2.151484, imid loss: 0.479300, imid1 loss: 0.335571, cmid loss: 1.336613
Train 0, loss: 2.063142
Linear Accuracy : 0.8954619124797407
==> Saving Best Model...
==> Saving...
Start training epoch: (1/100)
Epoch (1), Batch(0/1368), loss: 1.298441, imid loss: 0.219832, imid1 loss: 0.226932, cmid loss: 0.851678
